area,filename,x1,y1,x2,y2,class_name,score
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d025283_cropped.JPG,2,199,135,339,building,0.9999996
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d025283_cropped.JPG,0,368,88,467,residence,0.9999763
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d025283_cropped.JPG,49,283,189,423,residence,0.99970555
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d025283_cropped.JPG,45,284,193,423,building,0.99907243
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d025283_cropped.JPG,24,237,172,388,building,0.9888476
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d025283_cropped.JPG,187,411,313,512,residence,0.9407271
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d025283_cropped.JPG,147,45,401,250,building,0.9065236
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d025283_cropped.JPG,79,16,495,272,building,0.7892452
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d025283_cropped.JPG,0,58,53,117,building,0.50111485
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d02647_cropped.JPG,20,446,130,512,residence,0.99999994
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d02647_cropped.JPG,242,249,394,383,residence,0.9999832
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d02647_cropped.JPG,154,285,289,425,building,0.9844311
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d02647_cropped.JPG,400,69,512,233,building,0.9834894
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d02647_cropped.JPG,301,0,467,89,residence,0.9506402
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d02647_cropped.JPG,148,125,303,308,building,0.9362658
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d02647_cropped.JPG,226,249,394,389,building,0.89761806
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d548632_lon121d02647_cropped.JPG,8,263,132,362,building,0.807044
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,185,76,303,208,residence,1.0
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,152,184,241,281,residence,1.0
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,153,391,284,504,residence,1.0
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,53,139,167,262,residence,1.0
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,4,374,91,458,residence,1.0
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,280,268,395,395,residence,1.0
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,21,302,137,409,residence,1.0
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,110,45,216,165,building,0.9999999
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,338,159,469,299,building,0.9999999
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,264,462,343,512,residence,0.9999999
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,359,325,464,430,residence,0.9999999
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,435,391,511,485,residence,0.9999989
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,404,223,512,348,building,0.99995536
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,275,110,391,269,building,0.9995276
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,7,5,146,130,building,0.9829856
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,4,121,78,196,residence,0.92446476
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,11,333,112,433,residence,0.91916895
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d022907_cropped.JPG,3,3,151,136,residence,0.55448437
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d024095_cropped.JPG,0,262,128,413,residence,0.9999999
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d024095_cropped.JPG,147,382,293,512,building,0.99999964
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d024095_cropped.JPG,89,320,211,431,residence,0.9999989
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d024095_cropped.JPG,376,0,504,125,building,0.9999988
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d024095_cropped.JPG,25,442,99,509,residence,0.99994564
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d024095_cropped.JPG,187,160,315,261,building,0.99934125
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d024095_cropped.JPG,128,6,279,136,building,0.9989827
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d024095_cropped.JPG,250,99,351,175,residence,0.88710153
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d024095_cropped.JPG,55,294,179,421,residence,0.7702981
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d025283_cropped.JPG,52,46,211,174,building,0.9996934
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d02647_cropped.JPG,141,87,512,492,building,0.9999283
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d02647_cropped.JPG,204,271,482,512,building,0.99992484
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d02647_cropped.JPG,250,128,512,397,building,0.9997115
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d02647_cropped.JPG,0,335,108,512,building,0.99634874
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d02647_cropped.JPG,265,0,512,231,building,0.9813751
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d02647_cropped.JPG,126,11,512,326,building,0.8792886999999999
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d02647_cropped.JPG,68,87,391,291,building,0.85193235
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d02647_cropped.JPG,5,309,152,461,building,0.84732133
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d02647_cropped.JPG,285,207,512,475,building,0.6519159999999999
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d02647_cropped.JPG,203,90,435,303,building,0.6045168000000001
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d027658_cropped.JPG,0,135,224,403,building,0.99851173
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d027658_cropped.JPG,0,367,111,498,building,0.9939431
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d027658_cropped.JPG,120,355,325,512,building,0.9829086
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d027658_cropped.JPG,361,150,505,279,building,0.9820038
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d027658_cropped.JPG,269,365,512,512,building,0.94764835
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d027658_cropped.JPG,268,149,512,390,building,0.8835957
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d027658_cropped.JPG,143,364,316,512,residence,0.680502
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d027658_cropped.JPG,0,21,164,363,building,0.67457753
makati_cbd,/content/satellite_images_cropped/zm128m_lat14d549789_lon121d027658_cropped.JPG,174,351,432,500,building,0.6040126
