area,filename,x1,y1,x2,y2,class_name,score
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d578185_lon121d051556_cropped.JPG,51,20,189,120,residence,1.0
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d578185_lon121d051556_cropped.JPG,42,10,493,260,building,0.67085373
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d579342_lon121d052744_cropped.JPG,245,135,512,401,building,1.0
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d579342_lon121d052744_cropped.JPG,301,10,512,271,building,0.9999912
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d579342_lon121d052744_cropped.JPG,311,278,458,396,residence,0.9967046
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d579342_lon121d052744_cropped.JPG,119,400,340,512,building,0.69216585
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d579342_lon121d052744_cropped.JPG,130,54,512,361,building,0.5116399
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d578185_lon121d052744_cropped.JPG,226,104,509,364,building,0.9999631
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d578185_lon121d052744_cropped.JPG,66,4,195,141,building,0.9995204
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d578185_lon121d052744_cropped.JPG,112,22,435,272,building,0.9991363
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d578185_lon121d052744_cropped.JPG,71,81,491,434,building,0.99815226
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d578185_lon121d052744_cropped.JPG,121,219,441,511,building,0.99602866
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d578185_lon121d052744_cropped.JPG,426,298,512,390,residence,0.7028049
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d578185_lon121d052744_cropped.JPG,174,169,464,424,building,0.5780586
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d578185_lon121d052744_cropped.JPG,257,21,512,283,building,0.53437644
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d577028_lon121d052744_cropped.JPG,165,89,434,348,building,0.99892366
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d577028_lon121d052744_cropped.JPG,73,11,501,271,building,0.9078268
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d575871_lon121d052743_cropped.JPG,241,271,512,512,building,0.99980146
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d575871_lon121d052743_cropped.JPG,72,106,488,448,building,0.9925288
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d575871_lon121d052743_cropped.JPG,90,134,374,384,building,0.98736966
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d575871_lon121d052743_cropped.JPG,162,195,510,413,building,0.9598838
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d581655_lon121d053931_cropped.JPG,188,81,257,150,residence,1.0
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d581655_lon121d053931_cropped.JPG,356,286,512,465,building,0.999987
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d581655_lon121d053931_cropped.JPG,0,14,100,129,residence,0.999552
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d581655_lon121d053931_cropped.JPG,336,347,499,494,building,0.9974717
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d581655_lon121d053931_cropped.JPG,12,33,418,393,building,0.99520665
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d581655_lon121d053931_cropped.JPG,7,108,198,318,building,0.99470496
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d581655_lon121d053931_cropped.JPG,0,410,140,512,building,0.9022826
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d581655_lon121d053931_cropped.JPG,170,93,436,347,building,0.64634466
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d580499_lon121d053931_cropped.JPG,129,157,207,220,residence,0.99999917
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d580499_lon121d053931_cropped.JPG,389,366,512,511,building,0.99999225
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d580499_lon121d053931_cropped.JPG,116,8,216,81,residence,0.9998915
ortigas_cbd,/content/satellite_images_cropped/zm128m_lat14d580499_lon121d053931_cropped.JPG,0,3,197,210,building,0.9998548
